site_name,full_name,team
Aaron Del Real,Aaron Del Real,Detroit
Chris Auman,Chris Auman,Detroit
Alex Hunt,Alex Hunt,Detroit
Ben Murphy,Ben Murphy,Detroit
Alex Gilson,Alex Gilson,Detroit
Kevin Coulter,Kevin Coulter,Detroit
Marc Soldini,Marc Soldini,Detroit
Wasdi Grimaldo Barrero,Wasdi Grimaldo Barrero,Detroit
Jared Saltsman,Jared Saltsman,Detroit
Patrick Krantz,Patrick Krantz,Detroit
Mark Sandberg,Mark Sandberg,Detroit
Matthew Perdulla,Matthew Perdulla,Detroit
Souichi Terada,Souichi Terada,Detroit
Channing Watson,Channing Watson,Detroit
Gerald Chizmadia,Gerald Chizmadia,Detroit
Scott Sottosanti,Scott Sottosanti,Detroit
Eric Hubbard,Eric Hubbard,Detroit
Joseph Besser,Joseph Besser,Detroit
Brian Jager,Brian Jager,Detroit
Kirk Kuespert,Kirk Kuespert,Detroit
Dafeng Chen,Dafeng Chen,Detroit
Takashi Sato,Takashi Sato,Detroit
Beards E,Ethan Beardsley,Pittsburgh
Brenen C,Chris Brenenborg,Pittsburgh
DeAmic J,Jon DeAmicis,Pittsburgh
DeGiro T,Tyler DeGirolamo,Pittsburgh
Delgad F,Felipe Delgado,Pittsburgh
Dulabo R,Rob Dulabon,Pittsburgh
Earles P,Patrick Earles,Pittsburgh
Fedore M,Mark Fedorenko,Pittsburgh
Greeno J,James Greeno,Pittsburgh
Haser N,Nick Haser,Pittsburgh
Kaczma N,Nick Kaczmarek,Pittsburgh
Mast J,Jonathan Mast,Pittsburgh
Mogiel S,Steve Mogielski,Pittsburgh
Pannon M,Mike Pannone,Pittsburgh
RaniiD M,Marcus Ranii-Dropcho,Pittsburgh
Repper A,Anson Reppermund,Pittsburgh
Saul I,Isaac Saul,Pittsburgh
Schure S,Sam Schurer,Pittsburgh
Sheppa M,Max Sheppard,Pittsburgh
Thomas B,Brandon Thomas,Pittsburgh
Thorne A,Alex Thorne,Pittsburgh
Trimbl S,Scott Trimble,Pittsburgh
VanNes M,Michael Van Ness,Pittsburgh
Vatz D,David Vatz,Pittsburgh
Watson A,Aaron Watson,Pittsburgh
Wissel T,Tad Wissel,Pittsburgh
Hritz M,Hritz M,Pittsburgh
"Thorn, M","Thorn, M",Pittsburgh
Shultz D,Shultz D,Pittsburgh
Thorne M,Thorne M,Pittsburgh
Zarobi E,Zarobi E,Pittsburgh
Bechis D,Bechis D,Pittsburgh
Slevin J,Slevin J,Pittsburgh
Pitts C,Pitts C,Pittsburgh
Matt Auletta,Matt Auletta,New York
Joe Babbino,Joe Babbino,New York
Matt Baum,Matt Baum,New York
Eliot Bemis,Eliot Bemis,New York
Taylor Brooks,Taylor Brooks,New York
Isaiah Bryant,Isaiah Bryant,New York
Gary Dixon,Gary Dixon,New York
Mike Drost,Mike Drost,New York
Ryan Drost,Ryan Drost,New York
Timmer Farrell,Timmer Farrell,New York
Ben Ivers,Ben Ivers,New York
Billy Katz,Billy Katz,New York
Matt LeMar,Matt LeMar,New York
Jack Marsh,Jack Marsh,New York
Brian McLaughlin,Brian McLaughlin,New York
Kamil Skwarek,Kamil Skwarek,New York
Zach Smith,Zack Smith,New York
Matt Stevens,Matt Stevens,New York
Sam Taylor,Sam Taylor,New York
Ross Ward,Ross Ward,New York
Matt Weiner,Matt Wiener,New York
Andrew Wilkes,Andrew Wilkes,New York
Lionel Wininger,Lionel Wininger,New York
Ruo Ye,Ruo Ye,New York
Ignacio Yz,Ignacio Yz,New York
Snyder M,Snyder M,New York
Joe Ouellette,Joe Ouellette,New York
Flint J,Flint J,New York
Ludwig K,Ludwig K,New York
Brendan Awerbuch,Brendan Awerbuch,New York
Ian Guerin,Ian Guerin,New York
CharlesB,Charles Bariteau,Montreal
